GEOID20,route
060375720012008,60  
060371396001015,150  
060371284003006,154  
060371901012006,217  
060372408001006,53  
060376021031002,40  
060374807032021,176  
060376032002002,130  
060375548021007,62  
060376506071011,344  
060376702012007,205  
060371061132011,90  
060375523022004,460  
060371320012005,164  
060375422004004,128  
060372129002002,30  
060375313023003,66  
060377013022002,20  
060375409024022,125  
060375426012004,202  
060372973002014,550  
060373111002018,164  
060374307211000,487  
060376007022000,210  
060375427003020,51  
060379800111003,232  
060373102012019,183  
060374611004004,260  
060371895012000,207  
060372672022006,4  
060374336012006,70  
060371190011008,158  
060373111003005,154  
060376023023011,125  
060371999002003,76  
060375358023004,251  
060376506071008,344  
060375762001011,232  
060378004061038,534  
060372260022022,66  
060373109005003,183  
060374609003007,267  
060375708004008,266  
060371433011005,155  
060374605023007,177  
060371831011002,81  
060377021022014,733  
060375034012015,120  
060373107051010,94  
060371278061002,233  
060372920011001,550  
060376704181010,344  
060371274003010,163  
060379800161128,611  
060372628023012,602  
060374006052015,804 
060376009111010,110  
060374801022010,78  
060371896001017,237  
060372398024001,53  
060371098002007,158  
060371316002008,243  
060374634002006,267  
060379800341055,460  
060372976022009,246  
060373107011015,165  
060377003001005,2  
060374638001012,256  
060374821022014,260  
060372412013005,81  
060375042002017,120  
060376009023003,212  
060375338032002,260  
060372771003004,115  
060375421033022,127  
060375717011019,60  
060376209042011,126  
060372975011006,246  
060372942003007,246  
060376514021003,232  
060375754011016,232  
060379800141031,232  
060375763021015,232  
060371881002000,180  
060372340013007,105  
060371952022009,175  
060376512011004,232  
060376704132003,344  
060379304003200,804 
060371926202008,14  
060375300074011,68  
060375323042030,260  
060375031052002,120  
060379304002089,224  
060371082023012,243  
060374318001007,268  
060371851012001,83  
060374807041007,260  
060372701011011,733  
060371091002007,239  
060377004004028,14  
060372016011002,256  
060372172004006,212  
060372640001009,602  
060372240101043,10  
060376013021001,212  
060375039024035,460  
060376040012008,40  
060372141003005,16  
060372183003002,33  
060375353004022,115  
060375427001019,125  
060375039011009,460  
060371112012003,239  
060372149042000,16  
060372014022001,76  
060374044013006,804 
060376036003004,710  
060379304003263,804 
060375522003000,460  
060374605023006,177  
060371235102000,165  
060377007002021,2  
060372170011012,16  
060372047003012,66  
060372321201012,81  
060375707011010,265  
060372289001006,108  
060371218011003,169  
060374606013019,90  
060373006023018,90  
060374308012001,487  
060373024014001,603  
060374642006001,78  
060379800341046,460  
060375312022015,720  
060375319022009,66  
060372361022001,105  
060375301021003,18  
060372396022006,45  
060376512223000,344  
060375712023001,265  
060376213261009,232  
060375512042004,266  
060372780011000,115  
060376505013008,344  
060375437042002,246  
060372943012006,232  
060372372024003,110  
060371345201018,165  
060373107051014,94  
060377016013013,20  
060371344222024,169  
060375350022006,55  
060375326062007,110  
060375336012008,110  
